options,'options'," ""option's""", 'potions', 'option', 'opt ions', 'opt-ions', 'portions'," ""potion's""", 'adoptions'," ""portion's"""," ""adoption's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines,'lines', 'liens'," ""line's""", 'liners', 'linens', 'kines', 'limes', 'lined', 'Ines', 'lies', 'line'," ""Lin's""", 'Linus', 'lanes', 'lings'," ""liner's""", 'lingers', 'lioness', 'loners', 'lens', 'lions', 'loins', 'liner', 'links', 'lints', 'Hines', 'dines', 'fines'," ""lien's""", 'likes', 'linen', 'lives', 'mines', 'nines', 'pines', 'sines', 'tines', 'vines', 'wines', 'zines', 'lingoes'," ""Lane's"""," ""Lina's"""," ""Lon's"""," ""lane's"""," ""ling's"""," ""lion's"""," ""loin's"""," ""loner's"""," ""LAN's"""," ""Len's"""," ""lime's"""," ""Lie's"""," ""Luna's"""," ""Lynne's"""," ""lie's"""," ""Aline's"""," ""Cline's"""," ""Kline's"""," ""linen's"""," ""Lind's"""," ""link's"""," ""lint's"""," ""Linus's"""," ""fine's"""," ""life's"""," ""like's"""," ""lingo's"""," ""mine's"""," ""nine's"""," ""pine's"""," ""sine's"""," ""tine's"""," ""vine's"""," ""wine's"""," ""Lana's"""," ""Lena's"""," ""Leno's"""," ""Lynn's"""," ""lens's""",,,,,,,,,,,,,,,,,,,,
task,'task', 'tasks', 'ask', 'tusk', 'Tass', 'tack', 'Sask', 'bask', 'cask', 'mask', 'talk', 'tank', 'desk', 'disk', 'dusk', 'tacks', 'teaks', 'tags'," ""Ta's""", 'take', 'tars', 'taus', 'teak', 'teas', 'SK'," ""task's""", 'tasked', 'ts', 'tsar', 'Tomsk', 'tacky', 'tarsi', 'taser', 'tease', 'tusks', 'tax'," ""T's""", 'tag', 'Stark', 'stack', 'stark', 'taxa', 'taxi'," ""tea's"""," ""tag's"""," ""Tao's"""," ""tar's"""," ""tau's"""," ""Tass's"""," ""Tc's"""," ""DA's"""," ""Te's"""," ""Ti's"""," ""Tu's"""," ""Ty's"""," ""ti's"""," ""tack's"""," ""tusk's"""," ""teak's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stack,'stack', 'stacks', 'sack', 'tack', 'Stark', 'stark', 'stick', 'stock', 'stuck', 'stake', 'steak', 'stalk', 'stank', 'Staci', 'Stacy', 'slack', 'smack', 'snack', 'sticky', 'stocky', 'stag', 'shack', 'stage', 'stagy', 'stork'," ""stack's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change,'change', 'changer', 'changed', 'changes', 'Chang', 'charge', 'Chance', 'chance', 'Chung'," ""change's"""," ""Chang's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listeners,'listeners'," ""listener's""", 'listener', 'listens'," ""listen's""", 'lighteners'," ""Liston's"""," ""Lister's"""," ""lightener's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delay,'delay', 'delays', 'deal', 'Delia', 'Della', 'belay', 'decay', 'relay', 'Del', 'Dell', 'deli', 'dell', 'duly', 'Daley', 'Dalai', 'Dolly', 'dally', 'dilly', 'dolly', 'dully', 'telly', 'Darla', 'Delta', 'dealt', 'delta', 'dearly', 'duel', 'Dale', 'Dali', 'Dial', 'dale', 'deary', 'dial', 'dual', 'teal', 'DEA', 'Day', 'Delaney', 'daily', 'day', 'deals'," ""delay's""", 'delayer', 'doily', 'lay', 'dealer', 'mealy', 'Delano', 'Delmar', 'declaw', 'deploy', 'dewlap', 'Adela', 'tel', 'dear', 'dewy'," ""Del's"""," ""Delia's"""," ""Della's"""," ""deal's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcomplete,'complete', 'completer', 'completed', 'completes', 'compete', 'incomplete', 'compelled', 'competed', 'compiled', 'completely', 'complied', 'compote', 'compute', 'couplet',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons,'Commons', 'commons'," ""common's""", 'common'," ""Commons's""", 'commoners', 'communes', 'comings', 'commonest', 'commonness', 'Camoens', 'coons'," ""commoner's""", 'commands', 'commends', 'comments', 'commoner'," ""commune's"""," ""Como's""", 'commas'," ""cowman's"""," ""gammon's"""," ""comma's"""," ""coming's"""," ""coon's"""," ""command's"""," ""comment's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi,private investigator, 'PO', 'Pei', 'Po', 'Pu', 'pie', 'poi', 'IP', 'PIN', 'pic', 'pig', 'pin', 'pip', 'pis', 'pit', 'psi', 'P', 'oi', 'p', 'phi', 'pix', 'I', 'i', 'PA', 'PE', 'PP', 'PW', 'Pa', 'pa', 'pp', 'POW', 'Poe', 'pair', 'poo', 'pow', 'API', 'CPI', 'UPI', 'dpi', 'PC', 'PD', 'PG', 'PM', 'PR', 'PS', 'PT', 'PX', 'Pb', 'Pd', 'Pl', 'Pm', 'Pr', 'Pt', 'pd', 'pf', 'pg', 'pk', 'pl', 'pm', 'pr', 'pt', 'AI', 'Bi', 'Ci', 'DI', 'Di', 'GI', 'HI', 'Li', 'MI', 'Ni', 'RI', 'Si', 'Ti', 'VI', 'WI', 'bi', 'hi', 'ii', 'mi', 'pH', 'ti', 'vi', 'xi', 'WP', 'pier', 'pah', 'par', 'paw', 'pay', 'pea', 'pee', 'per', 'pew'," ""pi's"""," ""P's""",,,,
actions,'actions'," ""action's""", 'auctions', 'cations', 'action'," ""auction's""", 'factions', 'act ions', 'act-ions'," ""cation's""", 'auction'," ""Acton's""", 'cautions'," ""faction's"""," ""caution's"""," ""inaction's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todr,'Tod', 'tor', 'Todd', 'tour', 'Tudor', 'toed', 'Tide', 'tide', 'trod', 'Tory', 'tawdry', 'toad', 'tore', 'tort', 'tot', 'Dr', 'TD', 'tr', 'turd', 'tidy', 'toady', 'today', 'toddy', 'toot', 'tote', 'tout'," ""Tod's""", 'toads', 'DOD', 'TDD', 'Tad', 'Ted', 'tad', 'ted', 'tetra', 'FDR', 'tots', 'Terr', 'Toto', 'dodo', 'terr', 'Sadr', 'tads', 'teds'," ""Todd's"""," ""toad's"""," ""Tad's"""," ""Ted's"""," ""tad's"""," ""tot's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getdr,'gated', 'Gentry', 'gentry', 'geddit', 'gesture', 'tetra', 'girted', 'ctr', 'Deidre', 'Kendra', 'Cmdr', 'gutted', 'jetted', 'Deirdre', 'Comdr', 'Godard', 'Godot', 'goitre', 'CDT', 'Gantry', 'gantry', 'kited', 'Goddard', 'cadre', 'dietary',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mtxn,'Manx', 'minx', 'Max', 'Mex', 'max', 'mix', 'mtg'," ""MT's""", 'maxi', 'mtge', 'Marx', 'TWX', 'TeX', 'Tex', 'tax', 'tux', 'Mitzi', 'matzo', 'matins', 'mats', 'mots', 'taxa', 'taxi', 'Styx'," ""MIT's"""," ""mat's""", 'mates', 'matts', 'metes', 'mites', 'mitts', 'mixer'," ""mot's""", 'motes', 'moxie', 'mutes', 'mutts'," ""MTV's""", 'Dix', 'mks'," ""MD's"""," ""Md's"""," ""Mg's"""," ""Tc's"""," ""mate's"""," ""mete's"""," ""mite's"""," ""mote's"""," ""mute's"""," ""Matt's"""," ""Mott's"""," ""mitt's"""," ""mutt's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,'comments'," ""comment's""", 'comment', 'commends', 'commands', 'moments', 'commend', 'comets', 'Commons'," ""command's""", 'commits', 'commons'," ""common's"""," ""moment's"""," ""community's"""," ""comet's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitions,'partitions'," ""partition's""", 'partition', 'petitions'," ""petition's""", 'partitioned'," ""perdition's"""," ""parturition's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longer,'longer', 'lounger', 'linger', 'loner', 'longueur', 'lounge', 'logger', 'longed', 'conger', 'lodger', 'monger', 'Long', 'long', 'linker', 'lunge', 'lanker', 'linage', 'long er', 'long-er', 'loungers', 'liner', 'loaner', 'logier', 'longhair', 'LNG', 'loners', 'loge', 'lone', 'loonier', 'lounged', 'lounges', 'Lang', 'lung', 'Leger', 'Lodge', 'Luger', 'lager', 'lodge', 'longs', 'clanger', 'plonker', 'plunger'," ""Long's"""," ""long's"""," ""lounger's"""," ""lounge's"""," ""loner's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needed,'needed', 'needled', 'deeded', 'heeded', 'seeded', 'weeded', 'kneaded', 'netted', 'nodded', 'need ed', 'need-ed', 'ended', 'needle', 'needs', 'need', 'mended', 'needier'," ""need's""", 'needy', 'ceded', 'unneeded', 'noted', 'fended', 'nested', 'pended', 'tended', 'vended', 'wended'," ""needn't""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cached,'cached', 'coached', 'caches', 'ached', 'cache', 'cachet', 'cashed', 'couched', 'coshed', 'gashed'," ""cache's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sources,'sources'," ""source's""", 'sourced', 'source', 'sauces', 'souses', 'surcease'," ""sauce's""", 'saucers', 'sours'," ""souse's""", 'sores', 'SOSes', 'sourness'," ""sour's""", 'forces', 'resources', 'surges', 'susses', 'sluices', 'solaces'," ""Sousa's"""," ""Circe's"""," ""saucer's"""," ""sore's"""," ""SUSE's"""," ""force's"""," ""resource's"""," ""surge's"""," ""Susie's"""," ""sluice's"""," ""solace's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sb,subject,should be,slow blow, 'sob', 'sub', 'BS', 'AB', 'Sn', 'ab', 'dB', 'db', 'B', 'S', 'b', 's', 'Saab', 'USB', 'BB', 'SA', 'SE', 'SO', 'SS', 'SW', 'Se', 'Si', 'Yb', 'so', 'CB', 'Cb', 'GB', 'KB', 'Kb', 'MB', 'Mb', 'NB', 'Nb', 'OB', 'Ob', 'Pb', 'QB', 'Rb', 'SC', 'SD', 'SF', 'SJ', 'SK', 'ST', 'Sc', 'Sm', 'Sp', 'Sq', 'Sr', 'St', 'TB', 'Tb', 'lb', 'ob', 'sf', 'sq', 'st', 'tb', 'vb', 'Serb', 'sh'," ""Sb's"""," ""S's"""," ""B's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key,'Key', 'key', 'keys', 'KY', 'Ky', 'Kay', 'Joey', 'joey', 'kW', 'kw', 'Ken', 'keg', 'ken', 'bey', 'fey', 'hey', 'K', 'k', 'Jay', 'Jew', 'Joy', 'jay', 'jew', 'joy', 'GE', 'Ge', 'KO', 'Coy', 'Gay', 'Geo', 'Ger', 'Guy', 'KIA', 'KKK', 'cay', 'coy', 'gay', 'gee', 'guy'," ""Key's"""," ""key's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authorizer,'authorize', 'authorized', 'authorizes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authorize,'authorize', 'authorized', 'authorizes', 'authorise', 'reauthorize',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exists,'exists', 'exist', 'exits', 'sexists', 'excites'," ""exit's"""," ""sexist's""", 'egoists', 'coexists'," ""egoist's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node1,node's, 'node', 'nodes', 'nod', 'note', 'nude', 'Nader', 'noddy', 'nuder', 'Ned'," ""nod's""", 'ND', 'Nd', 'bode', 'mode', 'need', 'nose', 'Noe', 'nowt', 'ode', 'anode', 'not', 'nods', 'Nome', 'code', 'lode', 'none', 'nope', 'rode', 'Nate',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node2,node's, 'node', 'nodes', 'nod', 'note', 'nude', 'Nader', 'noddy', 'nuder', 'Ned'," ""nod's""", 'ND', 'Nd', 'bode', 'mode', 'need', 'nose', 'Noe', 'nowt', 'ode', 'anode', 'not', 'nods', 'Nome', 'code', 'lode', 'none', 'nope', 'rode', 'Nate',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image1,image's, 'image', 'imaged', 'images', 'imago', 'mage', 'imagery'," ""imago's""", 'imagoes', 'Madge', 'Marge', 'imagine', 'marge', 'age', 'mag', 'midge', 'Iago', 'Magi', 'magi', 'make',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image2,image's, 'image', 'imaged', 'images', 'imago', 'mage', 'imagery'," ""imago's""", 'imagoes', 'Madge', 'Marge', 'imagine', 'marge', 'age', 'mag', 'midge', 'Iago', 'Magi', 'magi', 'make',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elements,'elements'," ""element's""", 'element', 'Clements', 'aliments', 'elemental', 'elopements'," ""Clement's""", 'ailments', 'easements'," ""aliment's""", 'laments'," ""elopement's"""," ""ailment's"""," ""easement's"""," ""lament's"""," ""Clements's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ends,'ends'," ""end's""", 'eds', 'end', 'ens'," ""Enid's""", 'bends', 'fends', 'lends', 'mends', 'pends', 'rends', 'sends', 'tends', 'vends', 'wends', 'Enos'," ""en's""", 'Enders', 'endows', 'endues', 'Andes', 'Indus', 'ants'," ""Ned's""", 'endorse'," ""Ed's""", 'Enid'," ""Nd's"""," ""ed's""", 'eons', 'nods', 'needs', 'nerds', 'elands', 'nets'," ""Ender's"""," ""bend's""", 'endears'," ""mend's"""," ""ENE's"""," ""eon's"""," ""Andy's"""," ""Eng's"""," ""Indy's"""," ""ant's""", 'amends', 'emends', 'upends'," ""nod's"""," ""need's"""," ""nerd's"""," ""eland's"""," ""Aeneid's"""," ""Edna's"""," ""Etna's"""," ""net's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src,source,source code, 'sec', 'ARC', 'arc', 'RC', 'SC', 'Sc', 'Sr', 'SAC', 'SRO', 'Soc', 'sac', 'sic', 'soc', 'NRC', 'PRC', 'IRC', 'orc', 'Syriac', 'RCA', 'Rx', 'rec', 'Sara', 'sack', 'sari', 'sere', 'sick', 'sire', 'sock', 'sore', 'suck', 'sure'," ""Sr's""", 'SJ', 'SK', 'Sq', 'Zr', 'sq',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folders,'folders'," ""folder's""", 'folder', 'fielders', 'fodders', 'Folgers', 'holders', 'molders', 'solders', 'folds', 'filters'," ""fold's"""," ""fielder's""", 'falters', 'filers'," ""filter's""", 'Flowers', 'floaters', 'flouters', 'flowers'," ""fodder's"""," ""Holder's"""," ""holder's"""," ""molder's"""," ""solder's"""," ""falter's""", 'fliers'," ""Fowler's"""," ""filer's"""," ""floater's"""," ""flouter's"""," ""flower's"""," ""Foley's"""," ""flier's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encryption,'encryption', 'encrypt ion', 'encrypt-ion', 'encrypting', 'inscription', 'ascription',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status,'status', 'statues', 'stratus', 'stats', 'States'," ""stat's""", 'states', 'starts', 'stoats', 'statue'," ""statue's"""," ""status's""", 'stouts'," ""start's"""," ""state's"""," ""stoat's""", 'stets', 'stat us', 'stat-us'," ""Stout's"""," ""stout's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unsupported,'unsupported', 'unsorted', 'unreported', 'unsuited', 'unspoiled',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arithmeticlir,'arithmetical', 'arithmetically', 'arithmetic'," ""arithmetic's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowest,'lowest', 'slowest', 'lo west', 'lo-west', 'low est', 'low-est', 'lowers'," ""Lowe's""", 'lowed', 'West', 'blowiest', 'lest', 'lost', 'west', 'lowliest'," ""Loewe's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcount,'Mount', 'count', 'mount', 'county', 'Mont', 'cont', 'cunt', 'miscount', 'mound',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cards,'cards'," ""card's""", 'cads', 'card', 'cars', 'carts', 'cords', 'curds'," ""CAD's"""," ""cad's""", 'cats'," ""car's""", 'bards', 'carbs', 'cares', 'carks', 'carps', 'lards', 'wards', 'yards', 'CDs', 'carders', 'cardies'," ""cart's"""," ""cat's""", 'coeds'," ""cord's"""," ""curd's""", 'cods', 'cuds', 'gads', 'guards', 'girds', 'karts'," ""CD's"""," ""Cd's"""," ""chard's"""," ""Cato's"""," ""Catt's"""," ""coed's"""," ""cod's"""," ""cud's"""," ""carder's"""," ""Cara's"""," ""Carl's"""," ""Carr's"""," ""Cary's"""," ""Ward's"""," ""bard's"""," ""care's"""," ""carp's"""," ""guard's"""," ""lard's"""," ""ward's"""," ""yard's"""," ""Curt's"""," ""Kurd's"""," ""kart's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase,'phase', 'phased', 'phases', 'phrase', 'Chase', 'chase', 'phage', 'phis', 'phys', 'phages', 'parse', 'passe', 'pause'," ""phase's"""," ""phi's""", 'has', 'pas'," ""Ha's"""," ""PA's"""," ""Pa's"""," ""pa's"""," ""fa's"""," ""FHA's"""," ""PHP's"""," ""PhD's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,'shift', 'shifty', 'shifts', 'shrift', 'shit', 'sift', 'shaft', 'shirt', 'Swift', 'swift'," ""shift's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adj,adjective, 'AD', 'DJ', 'ad', 'ADC', 'ADD', 'Ada', 'add', 'ado', 'ADM', 'ADP', 'Adm', 'ads', 'adv', 'AK', 'aid', 'dag', 'AFDC', 'Adar', 'Aida', 'Audi', 'aide'," ""AD's"""," ""ad's""", 'adage', 'AC', 'Ac', 'Ag', 'At', 'DC', 'Ed', 'ID', 'OD', 'OJ', 'ac', 'at', 'ax', 'dc', 'ed', 'id', 'ACT', 'act'," ""I'd""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getc,'etc', 'get', 'gets', 'GTE', 'FTC', 'Tc', 'gt', 'Getty', 'getup', 'DEC', 'Dec', 'GCC', 'GED', 'git', 'got', 'gut', 'jet', 'OTC', 'UTC', 'CDC', 'gate', 'gite', 'GATT', 'geed', 'geek', 'geog', 'ROTC', 'gits', 'guts', 'jets'," ""GTE's"""," ""gut's"""," ""jet's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp,temporary, 'temp', 'MP', 'TM', 'Tm', 'mp', 'Tampa', 'Tempe', 'tempo', 'Twp', 'tap', 'tip', 'top', 'twp', 'amp', 'imp', 'tsp', 'ump', 'damp', 'dump', 'Tom', 'tom', 'Trump', 'tamps', 'temps', 'tempt', 'tramp', 'tromp', 'trump', 'tamper', 'temper', 'Tim', 'map', 'mop', 'tam', 'tum', 'stamp', 'stomp', 'stump', 'DTP', 'thump', 'TARP', 'Tami', 'Tupi', 'tame', 'tape', 'tarp', 'time', 'tomb', 'tome', 'topi', 'type', 'typo'," ""Tm's""", 'dumpy', 'DP'," ""temp's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ungetc,'inject', 'energetic', 'ingot', 'angelic', 'ingots', 'uncut', 'unstuck', 'antic', 'undergo', 'Angelica', 'Angelico', 'angelica', 'enact'," ""ingot's""", 'unquiet', 'inked', 'unquote',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flags,'flags'," ""flag's""", 'fags', 'flag', 'lags', 'flogs', 'flaws', 'flays', 'blags', 'flans', 'flaps', 'flats', 'frags', 'slags', 'flacks'," ""flak's""", 'flakes', 'flax'," ""fag's"""," ""lag's"""," ""flaw's"""," ""flax's"""," ""flab's"""," ""flack's"""," ""flake's"""," ""flan's"""," ""flap's"""," ""flat's"""," ""slag's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag,'flag', 'flags', 'Fla', 'fag', 'lag', 'flak', 'flog', 'flaw', 'flax', 'flay', 'blag', 'flab', 'flan', 'flap', 'flat', 'frag', 'slag', 'flack', 'flake', 'flaky'," ""flag's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allowringermodes,'orangeades', 'allurements'," ""orangeade's"""," ""allurement's"""," ""Allende's""", 'chlorinates', 'almonds', 'allurement'," ""almond's""", 'ailerons'," ""Alcindor's"""," ""aileron's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sounds,'sounds'," ""sound's""", 'sound', 'zounds', 'Sundas', 'bounds', 'founds', 'hounds', 'mounds', 'pounds', 'rounds', 'wounds', 'sounders', 'sands', 'sends', 'synods', 'soundest', 'Sundays', 'sundaes', 'sunders'," ""Sand's""", 'Suns'," ""sand's""", 'snoods', 'snouts', 'sods', 'sons', 'suds', 'suns'," ""sounder's""", 'sounder'," ""Pound's""", 'Saunders'," ""bound's"""," ""hound's"""," ""mound's"""," ""pound's"""," ""round's"""," ""wound's""", 'stuns'," ""Son's"""," ""Sun's"""," ""snout's"""," ""son's"""," ""sun's""", 'resounds'," ""synod's"""," ""Sundas's"""," ""Sony's"""," ""snood's"""," ""sod's"""," ""Sunday's"""," ""sundae's"""," ""Sandy's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compressed,'compressed', 'compresses', 'comprised', 'com pressed', 'com-pressed', 'compress ed', 'compress-ed', 'impressed', 'compress'," ""compress's""", 'compassed', 'decompressed', 'compressor',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megabytes,'megabytes'," ""megabyte's""", 'megabyte', 'megabits'," ""megabit's""", 'mega bytes', 'mega-bytes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
values,'values'," ""value's""", 'valuers', 'vales', 'valued', 'value', 'valise'," ""valuer's"""," ""vale's""", 'valuer', 'valves', 'valleys'," ""Val's""", 'Wales', 'voles', 'wales'," ""valour's""", 'Valois'," ""valor's"""," ""vole's"""," ""wale's"""," ""valve's"""," ""valley's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gles20,Giles's," ""gel's"""," ""Gale's"""," ""gale's"""," ""glee's"""," ""glue's""", 'gels', 'Giles', 'gales', 'glues'," ""Gael's"""," ""glow's""", 'Gaels'," ""Gil's"""," ""gal's""", 'Glass', 'glass', 'gloss'," ""Glen's"""," ""glen's""", 'glows'," ""Gayle's"""," ""guile's"""," ""Cleo's"""," ""GE's"""," ""Gall's"""," ""Ge's"""," ""Gila's"""," ""Gill's"""," ""Klee's"""," ""Le's"""," ""clew's"""," ""clue's"""," ""gala's"""," ""gall's""", 'gals'," ""gill's"""," ""gull's""", 'glens'," ""Cl's"""," ""ogle's""", 'Les', 'clews', 'clues', 'galas', 'galls', 'gills', 'gulls'," ""Cole's"""," ""GTE's"""," ""Kyle's"""," ""ale's"""," ""kale's"""," ""ole's""", 'ogles', 'gees', 'glee', 'goes', 'Glen', 'Jules', 'ales', 'glen', 'oles',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
